name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_peak_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_peak_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_peak_ram_mb
LISWET10,1,0,53,363,25.001876590408756,7.608080043868251e-07,1.0801249165087938,135.546875,1,1,209,-2500.9475559784087,2.022948080083225e-06,0.5909366253763437,128.96875,,,,,,,
LISWET11,1,0,53,337,24.999276365741935,8.009869165185994e-07,1.0810565426945686,129.390625,1,1,147,-2500.749545531532,1.8871541964376854e-06,0.42075708322227,128.765625,,,,,,,
LISWET12,1,0,53,321,24.998709818305542,8.458621001298982e-07,1.8264087084680796,140.53125,1,1,1701,-2474.07076413204,1.1014314702130688e-06,4.1168352086097,131.671875,,,,,,,
LISWET2,1,0,52,343,24.99736309430932,9.976170790434818e-07,0.9456159994006157,137.546875,1,1,159,-1666.9921263687343,1.1151948283708783e-06,0.4478060845285654,127.234375,,,,,,,
LISWET3,1,0,52,322,25.0006448981311,9.940867949647857e-07,0.9625840410590172,134.640625,1,1,158,-1000.258856440592,1.1387214737558093e-06,0.43135762587189674,129.1875,,,,,,,
LISWET4,1,0,52,334,24.999529791757027,9.95414347996017e-07,0.9276646245270967,127.53125,1,1,153,-714.5159808836387,8.190943407866564e-07,0.4268492069095373,127.3125,,,,,,,
LISWET5,1,0,52,338,25.033671634177153,9.932223943399982e-07,0.8865717072039843,128.71875,1,1,126,-15976.16589247832,2.280410738483724e-06,0.37533774971961975,128.6875,,,,,,,
LISWET6,1,0,52,332,24.995128177139577,9.97069548511576e-07,0.9942715838551521,136.125,1,1,168,-2162.224350426666,1.2721850906142943e-06,0.47419633343815804,130.671875,,,,,,,
LISWET7,1,0,52,340,25.002177939286867,9.97907611345847e-07,0.983168751001358,127.796875,1,1,199,-2500.2572754359853,1.1797280182765744e-06,0.557676374912262,131.203125,,,,,,,
LISWET8,1,0,52,341,25.00213390470617,9.962888667781306e-07,0.9528968762606382,136.765625,1,1,157,-2500.257240275201,1.1730390148759751e-06,0.44842829182744026,128.765625,,,,,,,
LISWET9,1,0,53,340,25.00174591924406,7.628287381977721e-07,0.882345873862505,120.484375,1,1,1757,-2457.538346494665,1.911732372909935e-06,4.209689874202013,131.125,,,,,,,
LOTSCHD,1,0,15,22,2398.412010283764,5.92707859125752e-07,0.00024741701781749725,98.8125,1,1,28,2398.4157529392673,9.031201145975063e-05,0.00013425014913082123,98.5625,,,,,,,
MOSARQP1,1,0,29,43,-952.8754453451766,8.389396546011535e-07,0.04495987482368946,98.5625,1,1,32,-952.8754420096203,2.402688714375767e-06,0.012909375131130219,98.671875,,,,,,,
MOSARQP2,1,0,20,33,-1597.482250865406,8.637074909398857e-07,0.016031499952077866,99.890625,1,1,26,-1597.4821192242548,1.5854472007470477e-07,0.005393708124756813,100.265625,,,,,,,
